ID_Vereador;ID;Texto;Data;App
21;169;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
119;170;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
133;171;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
5;172;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
1;173;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
45;174;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
20;175;Votou a favor para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
50;176;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
8;177;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
44;178;Votou contra para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
35;179;Votou contra para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
29;180;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
41;181;Votou contra para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
121;182;Votou contra para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
53;183;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
12;184;Votou a favor para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
132;185;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
22;186;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
16;187;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
131;188;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
38;189;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
118;190;Votou contra para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
3;191;Não votou para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
13;192;Votou contra para a matéria de Adiamento do Grande Expediente e como resultado ficou PENDENTE DE VOTAÇÃO.;11/04/2012;1
