ID_Vereador;Texto;DataEncerramento;Tipo_Ação
15;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
4;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
11;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
26;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
113;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
25;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
112;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
10;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
122;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
9;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
27;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
116;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
37;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
32;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
128;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
39;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
49;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
